;;DRYING;PIRO;RED;COMB
887;12.00;4;0;0;1
888;12.00;6;-1;-1;1
889;12.00;2;0;0;0
890;12.00;6;0;-1;1
891;12.00;2;-1;0;0
892;12.00;6;0;0;1
893;12.00;6;-1;-2;0
894;12.00;1;0;-1;0
895;12.00;1;-1;-1;0
896;12.00;0;0;0;0
897;12.00;2;0;-1;1
898;12.00;2;-1;-1;0
899;12.00;2;0;-1;0
900;12.00;1;0;-1;0
901;12.00;0;-1;0;0
902;12.00;2;0;-2;0
903;12.00;1;-1;-1;0
904;12.00;2;0;-1;0
905;12.01;1;0;-1;0
906;12.01;3;-1;-1;0
907;12.01;0;0;-2;0
908;12.01;-2;-1;-1;0
909;12.01;-6;0;-1;0
910;12.01;-10;-1;-2;0
911;12.01;-7;0;-2;0
912;12.01;-6;-1;-1;1
913;12.01;-4;0;-1;0
914;12.01;-5;0;-1;0
915;12.01;-5;-1;-1;0
916;12.01;-3;0;-1;0
917;12.01;-6;-1;-2;0
918;12.01;-4;0;-1;0
919;12.01;-7;-1;-2;0
920;12.01;-3;0;-1;1
921;12.01;-5;-1;-2;0
922;12.01;-3;0;-1;0
923;12.01;-2;0;0;0
924;12.01;-2;0;-1;1
925;12.01;-3;-1;-1;0
926;12.01;-1;0;-1;0
927;12.01;-3;0;-1;1
928;12.01;-3;0;-1;0
929;12.01;-4;-1;-2;0
930;12.01;-2;0;-1;0
931;12.02;-3;-1;-1;1
932;12.02;-2;0;-1;0
933;12.02;-2;0;-1;0
934;12.02;-5;-1;-2;1
935;12.02;-1;0;-1;0
936;12.02;-3;-1;-1;0
937;12.02;-3;0;-1;0
